,cases_mean,cases_median,cases_Std,low_ci_05,high_ci_95,low_ci_025,high_ci_975,type
2020-08-10,4057.221646606445,3972.1854248046875,856.3474349248486,2818.779919433594,5575.072265625,2634.719122314453,5967.742065429687,estimate
2020-08-11,4129.622451477051,4046.5206298828125,883.87450360313,2869.388537597656,5716.345043945313,2643.2851806640624,6137.538134765624,estimate
2020-08-12,4261.965616760254,4189.092041015625,892.8045232834227,2980.6519165039062,5819.734326171875,2782.874157714844,6194.438623046874,estimate
2020-08-13,4278.067102539063,4198.5478515625,887.2590946771415,2970.5569091796874,5851.547680664063,2786.852880859375,6230.008337402341,estimate
2020-08-14,4353.611168090821,4283.316162109375,870.4176410965508,3067.3650146484374,5955.327392578125,2908.2785034179688,6299.932519531248,estimate
2020-08-15,4370.338801757813,4305.294921875,860.4940605759807,3102.694104003906,5925.464916992187,2919.303179931641,6314.1537109375,estimate
2020-08-16,4263.351527648926,4190.896484375,846.7471829409416,3012.525390625,5731.298950195312,2762.1867248535154,6137.363525390624,estimate
2020-08-17,4137.932918945313,4061.9608154296875,821.396636286591,2942.2783081054686,5568.948779296875,2717.095178222656,5915.099462890625,estimate
2020-08-18,4054.332519958496,3992.8697509765625,776.476094809353,2904.5877807617185,5434.206811523437,2744.414520263672,5717.307592773436,estimate
2020-08-19,3852.6662177734374,3809.9017333984375,728.95136948987,2775.517797851562,5089.820776367187,2595.538952636719,5416.677294921874,estimate
2020-08-20,3671.507708312988,3617.4608154296875,695.9385107740246,2646.9076660156247,4879.731762695312,2478.86806640625,5116.971752929684,estimate
2020-08-21,3501.827227661133,3466.099609375,667.5054450227242,2501.7742919921875,4678.526586914062,2315.0769775390627,4916.715673828125,estimate
2020-08-22,3350.049547424316,3310.102783203125,643.8694240204381,2382.3965576171877,4451.366333007812,2207.2926086425778,4680.856066894531,estimate
2020-08-23,3221.3419556884764,3169.186279296875,619.8698045749517,2334.431115722656,4293.713842773437,2138.923260498047,4528.6705078125,estimate
2020-08-24,3100.1140053100585,3045.34619140625,597.1686501449735,2193.2791137695312,4112.4166259765625,2046.7153198242188,4320.3911743164035,estimate
2020-08-25,2986.980835144043,2953.136962890625,575.8881631553379,2114.9386962890626,3999.935229492188,1965.997592163086,4251.960778808593,estimate
2020-08-26,2890.647736572266,2850.554443359375,558.0014124776106,2076.7424560546874,3868.6747436523433,1931.313510131836,4120.802282714842,estimate
2020-08-27,2823.1605344238283,2774.0897216796875,544.779653891009,1991.7343322753907,3794.102258300781,1878.4530212402344,4021.8850463867175,estimate
2020-08-28,2743.314813842773,2711.114990234375,541.3661388073589,1918.1894409179688,3704.1702270507812,1789.1418884277346,3896.9562133789045,estimate
2020-08-29,2692.5902267456054,2660.091796875,531.48304970162,1864.8152893066408,3603.9330810546876,1726.8494750976563,3819.685290527343,estimate
2020-08-30,2639.55241217041,2599.797607421875,509.54929799610386,1857.0670593261718,3548.6299438476562,1749.4882568359376,3773.376019287109,estimate
2020-08-31,2567.1833877563477,2534.286376953125,501.031227999232,1801.8224853515626,3452.8851806640623,1673.3226287841799,3645.824554443359,estimate
2020-09-01,2499.5377584228518,2470.10595703125,483.7555196844041,1772.4354248046875,3348.9164306640623,1650.3112487792969,3570.380578613281,estimate
2020-09-02,2439.616868530273,2397.2005615234375,460.87011778797944,1747.5858093261718,3242.432495117187,1630.6737548828125,3478.472790527342,estimate
2020-09-03,2372.40716204834,2351.209716796875,445.79375789820114,1698.667791748047,3132.1949707031245,1579.9601593017578,3343.3141479492183,estimate
2020-09-04,2310.8502200317384,2292.8197021484375,439.02111209126224,1625.4137756347657,3071.6408081054688,1530.1263824462892,3276.128173828124,estimate
2020-09-05,2250.798336303711,2223.9134521484375,436.5751754895077,1576.5352111816408,2998.3756958007807,1487.9956359863281,3180.0533630371083,estimate
